"Year","Category","Nominee","Won"
"1937 (10th)","CINEMATOGRAPHY","The Good Earth","yes"
"1937 (10th)","CINEMATOGRAPHY","Wings over Honolulu","no"
"1937 (10th)","DIRECTING","The Awful Truth","yes"
"1937 (10th)","DIRECTING","The Good Earth","no"
"1937 (10th)","DIRECTING","The Life of Emile Zola","no"
"1937 (10th)","DIRECTING","Stage Door","no"
"1937 (10th)","DIRECTING","A Star Is Born","no"
"1937 (10th)","FILM EDITING","The Awful Truth","no"
"1937 (10th)","FILM EDITING","Captains Courageous","no"
"1937 (10th)","FILM EDITING","The Good Earth","no"
"1937 (10th)","FILM EDITING","Lost Horizon","yes"
"1937 (10th)","FILM EDITING","One Hundred Men and a Girl","no"
"1938 (11th)","ACTOR","Algiers ","no"
"1938 (11th)","ACTOR","Angels with Dirty Faces ","no"
"1938 (11th)","ACTOR","The Citadel ","no"
"1938 (11th)","ACTOR","Pygmalion ","no"
"1938 (11th)","ACTOR","Boys Town ","yes"
"1938 (11th)","ACTOR IN A SUPPORTING ROLE","Kentucky ","yes"
"1938 (11th)","ACTOR IN A SUPPORTING ROLE","Four Daughters ","no"
"1938 (11th)","ACTOR IN A SUPPORTING ROLE","Algiers ","no"
"1938 (11th)","ACTOR IN A SUPPORTING ROLE","Marie Antoinette ","no"
"1938 (11th)","ACTOR IN A SUPPORTING ROLE","If I Were King ","no"
"1938 (11th)","ACTRESS","White Banners ","no"
"1938 (11th)","ACTRESS","Jezebel ","yes"
"1938 (11th)","ACTRESS","Pygmalion ","no"
"1938 (11th)","ACTRESS","Marie Antoinette ","no"
"1938 (11th)","ACTRESS","Three Comrades ","no"
"1938 (11th)","ACTRESS IN A SUPPORTING ROLE","Jezebel ","yes"
"1938 (11th)","ACTRESS IN A SUPPORTING ROLE","Of Human Hearts ","no"
"1938 (11th)","ACTRESS IN A SUPPORTING ROLE","Merrily We Live ","no"
"1938 (11th)","ACTRESS IN A SUPPORTING ROLE","You Can't Take It with You ","no"
"1938 (11th)","ACTRESS IN A SUPPORTING ROLE","The Great Waltz ","no"
"1938 (11th)","CINEMATOGRAPHY","Algiers","no"
"1938 (11th)","CINEMATOGRAPHY","Army Girl","no"
"1938 (11th)","CINEMATOGRAPHY","The Buccaneer","no"
"1938 (11th)","CINEMATOGRAPHY","The Great Waltz","yes"
"1938 (11th)","CINEMATOGRAPHY","Jezebel","no"
"1938 (11th)","CINEMATOGRAPHY","Mad about Music","no"
"1938 (11th)","CINEMATOGRAPHY","Merrily We Live","no"
"1938 (11th)","CINEMATOGRAPHY","Suez","no"
"1938 (11th)","CINEMATOGRAPHY","Vivacious Lady","no"
"1938 (11th)","CINEMATOGRAPHY","You Can't Take It with You","no"
"1938 (11th)","CINEMATOGRAPHY","The Young in Heart","no"
"1938 (11th)","DIRECTING","Angels with Dirty Faces","no"
"1938 (11th)","DIRECTING","Boys Town","no"
"1938 (11th)","DIRECTING","The Citadel","no"
"1938 (11th)","DIRECTING","Four Daughters","no"
"1938 (11th)","DIRECTING","You Can't Take It with You","yes"
"1938 (11th)","FILM EDITING","The Adventures of Robin Hood","yes"
"1938 (11th)","FILM EDITING","Alexander's Ragtime Band","no"
"1938 (11th)","FILM EDITING","The Great Waltz","no"
"1938 (11th)","FILM EDITING","Test Pilot","no"
"1938 (11th)","FILM EDITING","You Can't Take It with You","no"
"1939 (12th)","ACTOR","Goodbye; Mr. Chips ","yes"
"1939 (12th)","ACTOR","Gone with the Wind ","no"
"1939 (12th)","ACTOR","Wuthering Heights ","no"
"1939 (12th)","ACTOR","Babes in Arms ","no"
"1939 (12th)","ACTOR","Mr. Smith Goes to Washington ","no"
"1939 (12th)","ACTOR IN A SUPPORTING ROLE","Juarez ","no"
"1939 (12th)","ACTOR IN A SUPPORTING ROLE","Mr. Smith Goes to Washington ","no"
"1939 (12th)","ACTOR IN A SUPPORTING ROLE","Beau Geste ","no"
"1939 (12th)","ACTOR IN A SUPPORTING ROLE","Stagecoach ","yes"
"1939 (12th)","ACTOR IN A SUPPORTING ROLE","Mr. Smith Goes to Washington ","no"
"1939 (12th)","ACTRESS","Dark Victory ","no"
"1939 (12th)","ACTRESS","Love Affair ","no"
"1939 (12th)","ACTRESS","Ninotchka ","no"
"1939 (12th)","ACTRESS","Goodbye; Mr. Chips ","no"
"1939 (12th)","ACTRESS","Gone with the Wind ","yes"
"1939 (12th)","ACTRESS IN A SUPPORTING ROLE","Gone with the Wind ","no"
"1939 (12th)","ACTRESS IN A SUPPORTING ROLE","Wuthering Heights ","no"
"1939 (12th)","ACTRESS IN A SUPPORTING ROLE","Gone with the Wind ","yes"
"1939 (12th)","ACTRESS IN A SUPPORTING ROLE","Drums along the Mohawk ","no"
"1939 (12th)","ACTRESS IN A SUPPORTING ROLE","Love Affair ","no"
"1939 (12th)","DIRECTING","Gone with the Wind","yes"
"1939 (12th)","DIRECTING","Goodbye; Mr. Chips","no"
"1939 (12th)","DIRECTING","Mr. Smith Goes to Washington","no"
"1939 (12th)","DIRECTING","Stagecoach","no"
"1939 (12th)","DIRECTING","Wuthering Heights","no"
"1939 (12th)","FILM EDITING","Gone with the Wind","yes"
"1939 (12th)","FILM EDITING","Goodbye; Mr. Chips","no"
"1939 (12th)","FILM EDITING","Mr. Smith Goes to Washington","no"
"1939 (12th)","FILM EDITING","The Rains Came","no"
"1939 (12th)","FILM EDITING","Stagecoach","no"
"1940 (13th)","ACTOR","The Great Dictator ","no"
"1940 (13th)","ACTOR","The Grapes of Wrath ","no"
"1940 (13th)","ACTOR","Abe Lincoln in Illinois ","no"
"1940 (13th)","ACTOR","Rebecca ","no"
"1940 (13th)","ACTOR","The Philadelphia Story ","yes"
"1940 (13th)","ACTOR IN A SUPPORTING ROLE","Foreign Correspondent ","no"
"1940 (13th)","ACTOR IN A SUPPORTING ROLE","The Westerner ","yes"
"1940 (13th)","ACTOR IN A SUPPORTING ROLE","They Knew What They Wanted ","no"
"1940 (13th)","ACTOR IN A SUPPORTING ROLE","The Great Dictator ","no"
"1940 (13th)","ACTOR IN A SUPPORTING ROLE","The Letter ","no"
"1940 (13th)","ACTRESS","The Letter ","no"
"1940 (13th)","ACTRESS","Rebecca ","no"
"1940 (13th)","ACTRESS","The Philadelphia Story ","no"
"1940 (13th)","ACTRESS","Kitty Foyle ","yes"
"1940 (13th)","ACTRESS","Our Town ","no"
"1940 (13th)","ACTRESS IN A SUPPORTING ROLE","Rebecca ","no"
"1940 (13th)","ACTRESS IN A SUPPORTING ROLE","The Grapes of Wrath ","yes"
"1940 (13th)","ACTRESS IN A SUPPORTING ROLE","The Philadelphia Story ","no"
"1940 (13th)","ACTRESS IN A SUPPORTING ROLE","All This; and Heaven Too ","no"
"1940 (13th)","ACTRESS IN A SUPPORTING ROLE","Primrose Path ","no"
"1940 (13th)","DIRECTING","The Grapes of Wrath","yes"
"1940 (13th)","DIRECTING","Kitty Foyle","no"
"1940 (13th)","DIRECTING","The Letter","no"
"1940 (13th)","DIRECTING","The Philadelphia Story","no"
"1940 (13th)","DIRECTING","Rebecca","no"
"1940 (13th)","FILM EDITING","The Grapes of Wrath","no"
"1940 (13th)","FILM EDITING","The Letter","no"
"1940 (13th)","FILM EDITING","The Long Voyage Home","no"
"1940 (13th)","FILM EDITING","North West Mounted Police","yes"
"1940 (13th)","FILM EDITING","Rebecca","no"
"1941 (14th)","ACTOR","Sergeant York ","yes"
"1941 (14th)","ACTOR","Penny Serenade ","no"
"1941 (14th)","ACTOR","All That Money Can Buy ","no"
"1941 (14th)","ACTOR","Here Comes Mr. Jordan ","no"
"1941 (14th)","ACTOR","Citizen Kane ","no"
"1941 (14th)","ACTOR IN A SUPPORTING ROLE","Sergeant York ","no"
"1941 (14th)","ACTOR IN A SUPPORTING ROLE","The Devil and Miss Jones ","no"
"1941 (14th)","ACTOR IN A SUPPORTING ROLE","How Green Was My Valley ","yes"
"1941 (14th)","ACTOR IN A SUPPORTING ROLE","Here Comes Mr. Jordan ","no"
"1941 (14th)","ACTOR IN A SUPPORTING ROLE","The Maltese Falcon ","no"
"1941 (14th)","ACTRESS","The Little Foxes ","no"
