"Year","Category","Nominee","Won"
1937,"ACTRESS IN A LEADING ROLE","A Star Is Born","no"
1937,"ACTRESS IN A LEADING ROLE","The Good Earth","yes"
1937,"ACTRESS IN A LEADING ROLE","Stella Dallas","no"
1937,"ACTRESS IN A SUPPORTING ROLE","In Old Chicago","yes"
1937,"ACTRESS IN A SUPPORTING ROLE","Stage Door","no"
1937,"ACTRESS IN A SUPPORTING ROLE","Stella Dallas","no"
1937,"ACTRESS IN A SUPPORTING ROLE","Dead End","no"
1937,"ACTRESS IN A SUPPORTING ROLE","Night Must Fall","no"
1937,"CINEMATOGRAPHY","Dead End","no"
1937,"CINEMATOGRAPHY","The Good Earth","yes"
1937,"CINEMATOGRAPHY","Wings over Honolulu","no"
1937,"DIRECTING","The Awful Truth","yes"
1937,"DIRECTING","The Good Earth","no"
1937,"DIRECTING","The Life of Emile Zola","no"
1937,"DIRECTING","Stage Door","no"
1937,"DIRECTING","A Star Is Born","no"
1937,"FILM EDITING","The Awful Truth","no"
1937,"FILM EDITING","Captains Courageous","no"
1937,"FILM EDITING","The Good Earth","no"
1937,"FILM EDITING","Lost Horizon","yes"
1937,"FILM EDITING","One Hundred Men and a Girl","no"
1938,"ACTOR IN A LEADING ROLE","Algiers","no"
1938,"ACTOR IN A LEADING ROLE","Angels with Dirty Faces","no"
1938,"ACTOR IN A LEADING ROLE","The Citadel","no"
1938,"ACTOR IN A LEADING ROLE","Pygmalion","no"
1938,"ACTOR IN A LEADING ROLE","Boys Town","yes"
1938,"ACTOR IN A SUPPORTING ROLE","Kentucky","yes"
1938,"ACTOR IN A SUPPORTING ROLE","Four Daughters","no"
1938,"ACTOR IN A SUPPORTING ROLE","Algiers","no"
1938,"ACTOR IN A SUPPORTING ROLE","Marie Antoinette","no"
1938,"ACTOR IN A SUPPORTING ROLE","If I Were King","no"
1938,"ACTRESS IN A LEADING ROLE","White Banners","no"
1938,"ACTRESS IN A LEADING ROLE","Jezebel","yes"
1938,"ACTRESS IN A LEADING ROLE","Pygmalion","no"
1938,"ACTRESS IN A LEADING ROLE","Marie Antoinette","no"
1938,"ACTRESS IN A LEADING ROLE","Three Comrades","no"
1938,"ACTRESS IN A SUPPORTING ROLE","Jezebel","yes"
1938,"ACTRESS IN A SUPPORTING ROLE","Of Human Hearts","no"
1938,"ACTRESS IN A SUPPORTING ROLE","Merrily We Live","no"
1938,"ACTRESS IN A SUPPORTING ROLE","You Can't Take It with You","no"
1938,"ACTRESS IN A SUPPORTING ROLE","The Great Waltz","no"
