"","Film","Production_Company","Producers","Year","Best_Pic_Oscar","Editor","Edit_Oscar"
"78","Finding Neverland","Miramax, Filmcolony","Richard N. Gladstein and Nellie Bellflower",2004,"f","Matt Chesse","f"
"79","Ray","Universal, Britsol Bay Productions, Anvil Films","Taylor Hackford, Stuart Benjamin, and Howard Baldwin",2004,"f","Paul Hirsch","f"
"80","Sideways","Fox Searchlight","Michael London",2004,"f",NA,NA
"81","The Lord of the Rings: The Return of the King","New Line Cinema, WingNut Films","Barrie M. Osborne, Peter Jackson, and Fran Walsh",2003,"t","Jamie Selkirk","t"
"82","Lost in Translation","Focus Features, American Zoetrope","Ross Katz and Sofia Coppola",2003,"f",NA,NA
"83","Master and Commander: The Far Side of the World","20th Century Fox, Miramax, Universal, Samuel Goldlwyn Films","Samuel Goldwyn, Jr., Peter Weir, and Duncan Henderson",2003,"f","Lee Smith","f"
"84","Mystic River","Warner Bros.,Village Roadshow Pictures, Malpaso","Robert Lorenz, Judie G. Hoyt, and Clint Eastwood",2003,"f",NA,NA
"85","Seabiscuit","DreamWorks, Universal, Spyglass Entertainment, Kennedy/Marshall Productions","Kathleen Kennedy, Frank Marshall, and Gary Ross",2003,"f","William Goldenberg","f"
"86","Chicago","Miramax, Producer Circle Co., Storyline Entertainment","Martin Richards",2002,"t","Martin Walsh","t"
"87","Gangs of New York","Miramax","Alberto Grimaldi and Harvey Weinstein",2002,"f","Thelma Schoonmaker","f"
"88","The Hours","Paramount, Miramax, Scott Rudin Productions","Scott Rudin and Robert Fox",2002,"f","Peter Boyle","f"
"89","The Lord of the Rings: The Two Towers","New Line Cinema, WingNut Films","Barrie M. Osborne, Fran Walsh, and Peter Jackson",2002,"f","Michael Horton","f"
"90","The Pianist","Focus Features, RP Productions, Heritage Films, Babelsberg Studios, Runteam","Roman Polanski, Robert Benmussa, and Alain Sarde",2002,"f","Hervé de Luze","f"
"91","A Beautiful Mind","DreamWorks, Universal, Imagine Entertainment","Brian Grazer and Ron Howard",2001,"t","Mike Hill and Daniel P. Hanley","f"
"92","Gosford Park","USA, Sandcastle 5 Productions, Zestwick","Robert Altman, Bob Balaban, and David Levy",2001,"f",NA,NA
"93","In the Bedroom","Miramax, Good Machine","Graham Leader, Ross Katz, and Todd Field",2001,"f",NA,NA
