Year,Category,Nominee,Additional.Info,Won.
1942 (15th),WRITING (Original Motion Picture Story),Holiday Inn,Irving Berlin,no
1942 (15th),WRITING (Original Motion Picture Story),The Invaders,Emeric Pressburger,yes
1942 (15th),WRITING (Original Motion Picture Story),The Pride of the Yankees,Paul Gallico,no
1942 (15th),WRITING (Original Motion Picture Story),The Talk of the Town,Sidney Harmon,no
1942 (15th),WRITING (Original Motion Picture Story),Yankee Doodle Dandy,Robert Buckner,no
1942 (15th),WRITING (Original Screenplay),One of Our Aircraft Is Missing,Michael Powell; Emeric Pressburger,no
1942 (15th),WRITING (Original Screenplay),Road to Morocco,Frank Butler; Don Hartman,no
1942 (15th),WRITING (Original Screenplay),Wake Island,W. R. Burnett; Frank Butler,no
1942 (15th),WRITING (Original Screenplay),The War against Mrs. Hadley,George Oppenheimer,no
1942 (15th),WRITING (Original Screenplay),Woman of the Year,Ring Lardner; Jr.; Michael Kanin,yes
1942 (15th),WRITING (Screenplay),The Invaders,Rodney Ackland; Emeric Pressburger,no
1942 (15th),WRITING (Screenplay),Mrs. Miniver,Arthur Wimperis; George Froeschel; James Hilton; Claudine West,yes
1942 (15th),WRITING (Screenplay),The Pride of the Yankees,Jo Swerling; Herman J. Mankiewicz,no
1942 (15th),WRITING (Screenplay),Random Harvest,Claudine West; George Froeschel; Arthur Wimperis,no
1942 (15th),WRITING (Screenplay),The Talk of the Town,Irwin Shaw; Sidney Buchman,no
1942 (15th),SPECIAL AWARD,To Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,NA,yes
1942 (15th),SPECIAL AWARD,To Noel Coward for his outstanding production achievement in In Which We Serve.,NA,yes
1942 (15th),SPECIAL AWARD,To Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the Andy Hardy series of films.,NA,yes
1942 (15th),IRVING G. THALBERG MEMORIAL AWARD,Sidney Franklin,NA,yes
1942 (15th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To CARROLL CLARK; F. THOMAS THOMPSON and the RKO RADIO STUDIO ART and MINIATURE DEPARTMENTS for the design and construction of a moving cloud and horizon machine. ,NA,yes
1942 (15th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To DANIEL B. CLARK and the 20TH CENTURY-FOX FILM CORP. for the development of a lens calibration system and the application of this system to exposure control in cinematography. ,NA,yes
1942 (15th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To ROBERT HENDERSON and the PARAMOUNT STUDIO ENGINEERING and TRANSPARENCY DEPARTMENTS for the design and construction of adjustable light bridges and screen frames for transparency process photography. ,NA,yes
1942 (15th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To DANIEL J. BLOOMBERG and the REPUBLIC STUDIO SOUND DEPARTMENT for the design and application to motion picture production of a device for marking action negative for pre-selection purposes. ,NA,yes
1943 (16th),ACTOR,Casablanca ,Humphrey Bogart,no
1943 (16th),ACTOR,For Whom the Bell Tolls ,Gary Cooper,no
1943 (16th),ACTOR,Watch on the Rhine ,Paul Lukas,yes
1943 (16th),ACTOR,Madame Curie ,Walter Pidgeon,no
1943 (16th),ACTOR,The Human Comedy ,Mickey Rooney,no
1943 (16th),ACTOR IN A SUPPORTING ROLE,The Song of Bernadette ,Charles Bickford,no
1943 (16th),ACTOR IN A SUPPORTING ROLE,The More the Merrier ,Charles Coburn,yes
1943 (16th),ACTOR IN A SUPPORTING ROLE,Sahara ,J. Carrol Naish,no
1943 (16th),ACTOR IN A SUPPORTING ROLE,Casablanca ,Claude Rains,no
1943 (16th),ACTOR IN A SUPPORTING ROLE,For Whom the Bell Tolls ,Akim Tamiroff,no
1943 (16th),ACTRESS,The More the Merrier ,Jean Arthur,no
1943 (16th),ACTRESS,For Whom the Bell Tolls ,Ingrid Bergman,no
1943 (16th),ACTRESS,The Constant Nymph ,Joan Fontaine,no
1943 (16th),ACTRESS,Madame Curie ,Greer Garson,no
1943 (16th),ACTRESS,The Song of Bernadette ,Jennifer Jones,yes
1943 (16th),ACTRESS IN A SUPPORTING ROLE,The Song of Bernadette ,Gladys Cooper,no
1943 (16th),ACTRESS IN A SUPPORTING ROLE,So Proudly We Hail! ,Paulette Goddard,no
1943 (16th),ACTRESS IN A SUPPORTING ROLE,For Whom the Bell Tolls ,Katina Paxinou,yes
1943 (16th),ACTRESS IN A SUPPORTING ROLE,The Song of Bernadette ,Anne Revere,no
1943 (16th),ACTRESS IN A SUPPORTING ROLE,Watch on the Rhine ,Lucile Watson,no
1943 (16th),ART DIRECTION (Black-and-White),Five Graves to Cairo,Art Direction: Hans Dreier; Ernst Fegte; Interior Decoration: Bertram Granger,no
1943 (16th),ART DIRECTION (Black-and-White),Flight for Freedom,Art Direction: Albert S. D'Agostino; Carroll Clark; Interior Decoration: Darrell Silvera; Harley Miller,no
1943 (16th),ART DIRECTION (Black-and-White),Madame Curie,Art Direction: Cedric Gibbons; Paul Groesse; Interior Decoration: Edwin B. Willis; Hugh Hunt,no
1943 (16th),ART DIRECTION (Black-and-White),Mission to Moscow,Art Direction: Carl Weyl; Interior Decoration: George J. Hopkins,no
1943 (16th),ART DIRECTION (Black-and-White),The North Star,Art Direction: Perry Ferguson; Interior Decoration: Howard Bristol,no
1943 (16th),ART DIRECTION (Black-and-White),The Song of Bernadette,Art Direction: James Basevi; William Darling; Interior Decoration: Thomas Little,yes
1943 (16th),ART DIRECTION (Color),For Whom the Bell Tolls,Art Direction: Hans Dreier; Haldane Douglas; Interior Decoration: Bertram Granger,no
1943 (16th),ART DIRECTION (Color),The Gang's All Here,Art Direction: James Basevi; Joseph C. Wright; Interior Decoration: Thomas Little,no
1943 (16th),ART DIRECTION (Color),Phantom of the Opera,Art Direction: John B. Goodman; Alexander Golitzen; Interior Decoration: Russell A. Gausman; Ira S. Webb,yes
1943 (16th),ART DIRECTION (Color),This Is the Army,Art Direction: John Hughes; Lt. John Koenig; Interior Decoration: George J. Hopkins,no
1943 (16th),ART DIRECTION (Color),Thousands Cheer,Art Direction: Cedric Gibbons; Daniel Cathcart; Interior Decoration: Edwin B. Willis; Jacques Mersereau,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),Air Force,James Wong Howe; Elmer Dyer; Charles Marshall,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),Casablanca,Arthur Edeson,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),Corvette K-225,Tony Gaudio,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),Five Graves to Cairo,John Seitz,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),The Human Comedy,Harry Stradling,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),Madame Curie,Joseph Ruttenberg,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),The North Star,James Wong Howe,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),Sahara,Rudolph Mat�,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),So Proudly We Hail!,Charles Lang,no
1943 (16th),CINEMATOGRAPHY (Black-and-White),The Song of Bernadette,Arthur Miller,yes
1943 (16th),CINEMATOGRAPHY (Color),For Whom the Bell Tolls,Ray Rennahan,no
1943 (16th),CINEMATOGRAPHY (Color),Heaven Can Wait,Edward Cronjager,no
1943 (16th),CINEMATOGRAPHY (Color),Hello; Frisco; Hello,Charles G. Clarke; Allen Davey,no
1943 (16th),CINEMATOGRAPHY (Color),Lassie Come Home,Leonard Smith,no
1943 (16th),CINEMATOGRAPHY (Color),Phantom of the Opera,Hal Mohr; W. Howard Greene,yes
1943 (16th),CINEMATOGRAPHY (Color),Thousands Cheer,George Folsey,no
1943 (16th),DIRECTING,Casablanca,Michael Curtiz,yes
1943 (16th),DIRECTING,Heaven Can Wait,Ernst Lubitsch,no
1943 (16th),DIRECTING,The Human Comedy,Clarence Brown,no
1943 (16th),DIRECTING,The More the Merrier,George Stevens,no
1943 (16th),DIRECTING,The Song of Bernadette,Henry King,no
1943 (16th),DOCUMENTARY (Feature),Baptism of Fire,United States Army,no
1943 (16th),DOCUMENTARY (Feature),The Battle of Russia,United States Department of War Special Service Division,no
1943 (16th),DOCUMENTARY (Feature),Desert Victory,British Ministry of Information,yes
1943 (16th),DOCUMENTARY (Feature),For God and Country,United States Army Pictorial Service,no
1943 (16th),DOCUMENTARY (Feature),NA,NA,no
1943 (16th),DOCUMENTARY (Feature),Report from the Aleutians,United States Army Pictorial Service,no
1943 (16th),DOCUMENTARY (Feature),Silent Village,British Ministry of Information,no
1943 (16th),DOCUMENTARY (Feature),NA,NA,no
1943 (16th),DOCUMENTARY (Feature),War Department Report,United States Office of Strategic Services Field Photographic Bureau,no
1943 (16th),DOCUMENTARY (Feature),We've Come a Long; Long Way,Negro Marches On; Inc.,no
1943 (16th),DOCUMENTARY (Feature),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Bismarck Convoy Smashed,Australian Department of Information Film Unit,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Children of Mars,RKO Radio,no
1943 (16th),DOCUMENTARY (Short Subject),Day of Battle,United States Office of War Information Domestic Motion Picture Bureau,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),December 7th,United States Navy,yes
1943 (16th),DOCUMENTARY (Short Subject),The Dutch Tradition,National Film Board of Canada,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Kill or Be Killed,British Ministry of Information,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),The Labor Front,National Film Board of Canada,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Land of My Mother,Polish Information Centre,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Letter from Livingston,United States Army 4th Signal Photographic Unit,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Life Line,United States Army Pictorial Service,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Plan for Destruction,Metro-Goldwyn-Mayer,no
1943 (16th),DOCUMENTARY (Short Subject),The Rear Gunner,United States Department of War,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Servant of a Nation,Union of South Africa,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Swedes in America,United States Office of War Information Overseas Motion Picture Bureau,no
1943 (16th),DOCUMENTARY (Short Subject),Task Force,United States Coast Guard,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),To the People of the United States,Walter Wanger; Producer,no
1943 (16th),DOCUMENTARY (Short Subject),Tomorrow We Fly,United States Navy Bureau of Aeronautics,no
1943 (16th),DOCUMENTARY (Short Subject),The Voice That Thrilled the World,Warner Bros.,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Water--Friend or Enemy,Walt Disney; Producer,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Wings Up,United States Army Air Force 1st Motion Picture Unit,no
1943 (16th),DOCUMENTARY (Short Subject),NA,NA,no
1943 (16th),DOCUMENTARY (Short Subject),Youth in Crisis,The March of Time,no
1943 (16th),FILM EDITING,Air Force,George Amy,yes
1943 (16th),FILM EDITING,Casablanca,Owen Marks,no
1943 (16th),FILM EDITING,Five Graves to Cairo,Doane Harrison,no
1943 (16th),FILM EDITING,For Whom the Bell Tolls,Sherman Todd; John Link,no
1943 (16th),FILM EDITING,The Song of Bernadette,Barbara McLean,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),The Amazing Mrs. Holliday,Frank Skinner; Hans J. Salter,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Casablanca,Max Steiner,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Commandos Strike at Dawn,Morris Stoloff; Louis Gruenberg,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),The Fallen Sparrow,Roy Webb; C. Bakaleinikoff,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),For Whom the Bell Tolls,Victor Young,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Hangmen Also Die,Hanns Eisler,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Hi Diddle Diddle,Phil Boutelje,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),In Old Oklahoma,Walter Scharf,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Johnny Come Lately,Leigh Harline,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),The Kansan,Gerard Carbonara,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Lady of Burlesque,Arthur Lange,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Madame Curie,Herbert Stothart,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),The Moon and Sixpence,Dimitri Tiomkin,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),The North Star,Aaron Copland,no
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),The Song of Bernadette,Alfred Newman,yes
1943 (16th),MUSIC (Music Score of a Dramatic or Comedy Picture),Victory through Air Power,Edward H. Plumb; Paul J. Smith; Oliver G. Wallace,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Coney Island,Alfred Newman,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Hit Parade of 1943,Walter Scharf,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Phantom of the Opera,Edward Ward,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Saludos Amigos,Charles Wolcott; Edward H. Plumb; Paul J. Smith,no
1943 (16th),MUSIC (Scoring of a Musical Picture),The Sky's the Limit,Leigh Harline,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Something to Shout About,Morris Stoloff,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Stage Door Canteen,Frederic E. Rich,no
1943 (16th),MUSIC (Scoring of a Musical Picture),Star Spangled Rhythm,Robert Emmett Dolan,no
1943 (16th),MUSIC (Scoring of a Musical Picture),This Is the Army,Ray Heindorf,yes
1943 (16th),MUSIC (Scoring of a Musical Picture),Thousands Cheer,Herbert Stothart,no
1943 (16th),MUSIC (Song),A Change Of Heart from Hit Parade of 1943,Music by Jule Styne; Lyrics by Harold Adamson,no
1943 (16th),MUSIC (Song),Happiness Is A Thing Called Joe from Cabin in the Sky,Music by Harold Arlen; Lyrics by E. Y. Harburg,no
1943 (16th),MUSIC (Song),My Shining Hour from The Sky's the Limit,Music by Harold Arlen; Lyrics by Johnny Mercer,no
1943 (16th),MUSIC (Song),Saludos Amigos from Saludos Amigos,Music by Charles Wolcott; Lyrics by Ned Washington,no
1943 (16th),MUSIC (Song),Say A Pray'r For The Boys Over There from Hers to Hold,Music by Jimmy McHugh; Lyrics by Herb Magidson,no
1943 (16th),MUSIC (Song),That Old Black Magic from Star Spangled Rhythm,Music by Harold Arlen; Lyrics by Johnny Mercer,no
1943 (16th),MUSIC (Song),NA,NA,no
1943 (16th),MUSIC (Song),They're Either Too Young Or Too Old from Thank Your Lucky Stars,Music by Arthur Schwartz; Lyrics by Frank Loesser,no
1943 (16th),MUSIC (Song),We Mustn't Say Goodbye from Stage Door Canteen,Music by James Monaco; Lyrics by Al Dubin,no
1943 (16th),MUSIC (Song),You'd Be So Nice To Come Home To from Something to Shout About,Music and Lyrics by Cole Porter,no
1943 (16th),MUSIC (Song),You'll Never Know from Hello; Frisco; Hello,Music by Harry Warren; Lyrics by Mack Gordon,yes
1943 (16th),OUTSTANDING MOTION PICTURE,Casablanca,Warner Bros.,yes
1943 (16th),OUTSTANDING MOTION PICTURE,For Whom the Bell Tolls,Paramount,no
1943 (16th),OUTSTANDING MOTION PICTURE,Heaven Can Wait,20th Century-Fox,no
1943 (16th),OUTSTANDING MOTION PICTURE,The Human Comedy,Metro-Goldwyn-Mayer,no
1943 (16th),OUTSTANDING MOTION PICTURE,In Which We Serve,Two Cities,no
1943 (16th),OUTSTANDING MOTION PICTURE,Madame Curie,Metro-Goldwyn-Mayer,no
1943 (16th),OUTSTANDING MOTION PICTURE,The More the Merrier,Columbia,no
1943 (16th),OUTSTANDING MOTION PICTURE,The Ox-Bow Incident,20th Century-Fox,no
1943 (16th),OUTSTANDING MOTION PICTURE,The Song of Bernadette,20th Century-Fox,no
1943 (16th),OUTSTANDING MOTION PICTURE,Watch on the Rhine,Warner Bros.,no
1943 (16th),SHORT SUBJECT (Cartoon),The Dizzy Acrobat,Walter Lantz; Producer,no
1943 (16th),SHORT SUBJECT (Cartoon),The 500 Hats of Bartholomew Cubbins,George Pal; Producer,no
1943 (16th),SHORT SUBJECT (Cartoon),Greetings Bait!,Leon Schlesinger; Producer,no
1943 (16th),SHORT SUBJECT (Cartoon),Imagination,Dave Fleischer; Producer,no
1943 (16th),SHORT SUBJECT (Cartoon),Reason and Emotion,Walt Disney; Producer,no
1943 (16th),SHORT SUBJECT (Cartoon),Yankee Doodle Mouse,Frederick Quimby; Producer,yes
1943 (16th),SHORT SUBJECT (One-reel),Amphibious Fighters,Grantland Rice; Producer,yes
1943 (16th),SHORT SUBJECT (One-reel),Cavalcade of Dance with Veloz and Yolanda,Gordon Hollingshead; Producer,no
1943 (16th),SHORT SUBJECT (One-reel),Champions Carry On,Edmund Reek; Producer,no
1943 (16th),SHORT SUBJECT (One-reel),Hollywood in Uniform,Ralph Staub; Producer,no
1943 (16th),SHORT SUBJECT (One-reel),Seeing Hands,Pete Smith; Producer,no
1943 (16th),SHORT SUBJECT (Two-reel),Heavenly Music,Jerry Bresler and Sam Coslow; Producers,yes
1943 (16th),SHORT SUBJECT (Two-reel),Letter to a Hero,Frederic Ullman; Jr.; Producer,no
1943 (16th),SHORT SUBJECT (Two-reel),Mardi Gras,Walter MacEwen; Producer,no
1943 (16th),SHORT SUBJECT (Two-reel),Women at War,Gordon Hollingshead; Producer,no
1943 (16th),SOUND RECORDING,Hangmen Also Die,Sound Service; Inc.; Jack Whitney; Sound Director,no
1943 (16th),SOUND RECORDING,In Old Oklahoma,Republic Studio Sound Department; Daniel J. Bloomberg; Sound Director,no
1943 (16th),SOUND RECORDING,Madame Curie,Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director,no
1943 (16th),SOUND RECORDING,The North Star,Samuel Goldwyn Studio Sound Department; Thomas T. Moulton; Sound Director,no
1943 (16th),SOUND RECORDING,Phantom of the Opera,Universal Studio Sound Department; Bernard B. Brown; Sound Director,no
1943 (16th),SOUND RECORDING,Riding High,Paramount Studio Sound Department; Loren L. Ryder; Sound Director,no
1943 (16th),SOUND RECORDING,Sahara,Columbia Studio Sound Department; John Livadary; Sound Director,no
1943 (16th),SOUND RECORDING,Saludos Amigos,Walt Disney Studio Sound Department; C. O. Slyfield; Sound Director,no
1943 (16th),SOUND RECORDING,So This Is Washington,RCA Sound; J. L. Fields; Sound Director,no
1943 (16th),SOUND RECORDING,The Song of Bernadette,20th Century-Fox Studio Sound Department; E. H. Hansen; Sound Director,no
1943 (16th),SOUND RECORDING,This Is the Army,Warner Bros. Studio Sound Department; Nathan Levinson; Sound Director,no
1943 (16th),SOUND RECORDING,This Land Is Mine,RKO Radio Studio Sound Department; Stephen Dunn; Sound Director,yes
1943 (16th),SPECIAL EFFECTS,Air Force,Photographic Effects by Hans Koenekamp; Rex Wimpy; Sound Effects by Nathan Levinson,no
1943 (16th),SPECIAL EFFECTS,Bombardier,Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart; Roy Granville,no
1943 (16th),SPECIAL EFFECTS,Crash Dive,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,yes
1943 (16th),SPECIAL EFFECTS,The North Star,Photographic Effects by Clarence Slifer; R. O. Binger; Sound Effects by Thomas T. Moulton,no
1943 (16th),SPECIAL EFFECTS,So Proudly We Hail!,Photographic Effects by Gordon Jennings; Farciot Edouart; Sound Effects by George Dutton,no
1943 (16th),SPECIAL EFFECTS,Stand By for Action,Photographic Effects by A. Arnold Gillespie; Donald Jahraus; Sound Effects by Michael Steinore,no
1943 (16th),WRITING (Original Motion Picture Story),Action in the North Atlantic,Guy Gilpatric,no
1943 (16th),WRITING (Original Motion Picture Story),Destination Tokyo,Steve Fisher,no
1943 (16th),WRITING (Original Motion Picture Story),The Human Comedy,William Saroyan,yes
1943 (16th),WRITING (Original Motion Picture Story),The More the Merrier,Robert Russell; Frank Ross,no
1943 (16th),WRITING (Original Motion Picture Story),Shadow of a Doubt,Gordon McDonell,no
1943 (16th),WRITING (Original Screenplay),Air Force,Dudley Nichols,no
1943 (16th),WRITING (Original Screenplay),In Which We Serve,Noel Coward,no
1943 (16th),WRITING (Original Screenplay),The North Star,Lillian Hellman,no
1943 (16th),WRITING (Original Screenplay),Princess O'Rourke,Norman Krasna,yes
1943 (16th),WRITING (Original Screenplay),So Proudly We Hail!,Allan Scott,no
1943 (16th),WRITING (Screenplay),Casablanca,Julius J. Epstein; Philip G. Epstein; Howard Koch,yes
1943 (16th),WRITING (Screenplay),Holy Matrimony,Nunnally Johnson,no
1943 (16th),WRITING (Screenplay),The More the Merrier,Robert Russell; Frank Ross; Richard Flournoy; Lewis R. Foster,no
1943 (16th),WRITING (Screenplay),The Song of Bernadette,George Seaton,no
1943 (16th),WRITING (Screenplay),Watch on the Rhine,Dashiell Hammett,no
1943 (16th),SPECIAL AWARD,To George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.,NA,yes
1943 (16th),IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,NA,yes
1943 (16th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To FARCIOT EDOUART; EARLE MORGAN; BARTON THOMPSON and the PARAMOUNT STUDIO ENGINEERING and TRANSPARENCY DEPARTMENTS for the development and practical application to motion picture production of a method of duplicating and enlarging natural color photographs; transferring the image emulsions to glass plates and projecting these slides by especially designed stereopticon equipment. ,NA,yes
1943 (16th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To PHOTO PRODUCTS DEPARTMENT; E. I. duPONT de NEMOURS AND CO.; INC. for the development of fine-grain motion picture films. ,NA,yes
1943 (16th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To DANIEL J. BLOOMBERG and the REPUBLIC STUDIO SOUND DEPARTMENT for the design and development of an inexpensive method of converting Moviolas to Class B push-pull reproduction. ,NA,yes
1943 (16th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To CHARLES GALLOWAY CLARKE and the 20TH CENTURY-FOX STUDIO CAMERA DEPARTMENT for the development and practical application of a device for composing artificial clouds into motion picture scenes during production photography. ,NA,yes
1943 (16th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To FARCIOT EDOUART and the PARAMOUNT STUDIO TRANSPARENCY DEPARTMENT for an automatic electric transparency cueing timer. ,NA,yes
1943 (16th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To WILLARD H. TURNER and the RKO RADIO STUDIO SOUND DEPARTMENT for the design and construction of the phono-cue starter. ,NA,yes
1944 (17th),ACTOR,Gaslight ,Charles Boyer,no
1944 (17th),ACTOR,Going My Way ,Bing Crosby,yes
1944 (17th),ACTOR,Going My Way ,Barry Fitzgerald,no
1944 (17th),ACTOR,None but the Lonely Heart ,Cary Grant,no
1944 (17th),ACTOR,Wilson ,Alexander Knox,no
1944 (17th),ACTOR IN A SUPPORTING ROLE,The Seventh Cross ,Hume Cronyn,no
1944 (17th),ACTOR IN A SUPPORTING ROLE,Going My Way ,Barry Fitzgerald,yes
1944 (17th),ACTOR IN A SUPPORTING ROLE,Mr. Skeffington ,Claude Rains,no
1944 (17th),ACTOR IN A SUPPORTING ROLE,Laura ,Clifton Webb,no
1944 (17th),ACTOR IN A SUPPORTING ROLE,Since You Went Away ,Monty Woolley,no
1944 (17th),ACTRESS,Gaslight ,Ingrid Bergman,yes
1944 (17th),ACTRESS,Since You Went Away ,Claudette Colbert,no
1944 (17th),ACTRESS,Mr. Skeffington ,Bette Davis,no
1944 (17th),ACTRESS,Mrs. Parkington ,Greer Garson,no
1944 (17th),ACTRESS,Double Indemnity ,Barbara Stanwyck,no
1944 (17th),ACTRESS IN A SUPPORTING ROLE,None but the Lonely Heart ,Ethel Barrymore,yes
1944 (17th),ACTRESS IN A SUPPORTING ROLE,Since You Went Away ,Jennifer Jones,no
1944 (17th),ACTRESS IN A SUPPORTING ROLE,Gaslight ,Angela Lansbury,no
1944 (17th),ACTRESS IN A SUPPORTING ROLE,Dragon Seed ,Aline MacMahon,no
1944 (17th),ACTRESS IN A SUPPORTING ROLE,Mrs. Parkington ,Agnes Moorehead,no
1944 (17th),ART DIRECTION (Black-and-White),Address Unknown,Art Direction: Lionel Banks; Walter Holscher; Interior Decoration: Joseph Kish,no
1944 (17th),ART DIRECTION (Black-and-White),The Adventures of Mark Twain,Art Direction: John J. Hughes; Interior Decoration: Fred MacLean,no
1944 (17th),ART DIRECTION (Black-and-White),Casanova Brown,Art Direction: Perry Ferguson; Interior Decoration: Julia Heron,no
1944 (17th),ART DIRECTION (Black-and-White),Gaslight,Art Direction: Cedric Gibbons; William Ferrari; Interior Decoration: Edwin B. Willis; Paul Huldschinsky,yes
1944 (17th),ART DIRECTION (Black-and-White),Laura,Art Direction: Lyle Wheeler; Leland Fuller; Interior Decoration: Thomas Little,no
1944 (17th),ART DIRECTION (Black-and-White),No Time for Love,Art Direction: Hans Dreier; Robert Usher; Interior Decoration: Sam Comer,no
1944 (17th),ART DIRECTION (Black-and-White),Since You Went Away,Art Direction: Mark-Lee Kirk; Interior Decoration: Victor A. Gangelin,no
1944 (17th),ART DIRECTION (Black-and-White),Song of the Open Road,NA,no
1944 (17th),ART DIRECTION (Black-and-White),NA,NA,no
1944 (17th),ART DIRECTION (Black-and-White),Step Lively,Art Direction: Albert S. D'Agostino; Carroll Clark; Interior Decoration: Darrell Silvera; Claude Carpenter,no
1944 (17th),ART DIRECTION (Color),The Climax,Art Direction: John B. Goodman; Alexander Golitzen; Interior Decoration: Russell A. Gausman; Ira S. Webb,no
1944 (17th),ART DIRECTION (Color),Cover Girl,Art Direction: Lionel Banks; Cary Odell; Interior Decoration: Fay Babcock,no
1944 (17th),ART DIRECTION (Color),The Desert Song,Art Direction: Charles Novi; Interior Decoration: Jack McConaghy,no
1944 (17th),ART DIRECTION (Color),Kismet,Art Direction: Cedric Gibbons; Daniel B. Cathcart; Interior Decoration: Edwin B. Willis; Richard Pefferle,no
1944 (17th),ART DIRECTION (Color),Lady in the Dark,Art Direction: Hans Dreier; Raoul Pene du Bois; Interior Decoration: Ray Moyer,no
1944 (17th),ART DIRECTION (Color),The Princess and the Pirate,Art Direction: Ernst Fegte; Interior Decoration: Howard Bristol,no
1944 (17th),ART DIRECTION (Color),Wilson,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little,yes
1944 (17th),CINEMATOGRAPHY (Black-and-White),Double Indemnity,John Seitz,no
1944 (17th),CINEMATOGRAPHY (Black-and-White),Dragon Seed,Sidney Wagner,no
1944 (17th),CINEMATOGRAPHY (Black-and-White),Gaslight,Joseph Ruttenberg,no
1944 (17th),CINEMATOGRAPHY (Black-and-White),Going My Way,Lionel Lindon,no
1944 (17th),CINEMATOGRAPHY (Black-and-White),Laura,Joseph LaShelle,yes
