Year,Category,Nominee,Additional.Info,Won.
1934 (7th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production; with their recording of the sound on the picture One Night of Love. ,NA,yes
1934 (7th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer. ,NA,yes
1935 (8th),ACTOR,Mutiny on the Bounty ,Clark Gable,no
1935 (8th),ACTOR,Mutiny on the Bounty  ,Charles Laughton,no
1935 (8th),ACTOR,The Informer ,Victor McLaglen,yes
1935 (8th),ACTOR,Black Fury  ,Paul Muni,no
1935 (8th),ACTOR,NA,[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Write-in candidate.],no
1935 (8th),ACTOR,Mutiny on the Bounty ,Franchot Tone,no
1935 (8th),ACTRESS,Escape Me Never  ,Elisabeth Bergner,no
1935 (8th),ACTRESS,Private Worlds ,Claudette Colbert,no
1935 (8th),ACTRESS,Dangerous ,Bette Davis,yes
1935 (8th),ACTRESS,Alice Adams  ,Katharine Hepburn,no
1935 (8th),ACTRESS,Becky Sharp ,Miriam Hopkins,no
1935 (8th),ACTRESS,The Dark Angel ,Merle Oberon,no
1935 (8th),ART DIRECTION,The Dark Angel,Richard Day,yes
1935 (8th),ART DIRECTION,The Lives of a Bengal Lancer,Hans Dreier; Roland Anderson [came in 3rd],no
1935 (8th),ART DIRECTION,Top Hat,Van Nest Polglase; Carroll Clark [came in 2nd],no
1935 (8th),ASSISTANT DIRECTOR,David Copperfield,Joseph Newman [came in 3rd],no
1935 (8th),ASSISTANT DIRECTOR,Les Miserables,Eric Stacey,no
1935 (8th),ASSISTANT DIRECTOR,The Lives of a Bengal Lancer,Clem Beauchamp; Paul Wing,yes
1935 (8th),ASSISTANT DIRECTOR,A Midsummer Night's Dream,Sherry Shourds [came in 2nd],no
1935 (8th),ASSISTANT DIRECTOR,NA,NA,no
1935 (8th),CINEMATOGRAPHY,Barbary Coast,Ray June,no
1935 (8th),CINEMATOGRAPHY,The Crusades,Victor Milner [came in 3rd],no
1935 (8th),CINEMATOGRAPHY,Les Miserables,Gregg Toland [came in 2nd],no
1935 (8th),CINEMATOGRAPHY,A Midsummer Night's Dream,Hal Mohr,yes
1935 (8th),CINEMATOGRAPHY,NA,NA,no
1935 (8th),DANCE DIRECTION,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [came in 3rd],no
1935 (8th),DANCE DIRECTION,Bobby Connolly,Latin from Manhattan number from Go into Your Dance,no
1935 (8th),DANCE DIRECTION,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess,no
1935 (8th),DANCE DIRECTION,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere,yes
1935 (8th),DANCE DIRECTION,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque,no
1935 (8th),DANCE DIRECTION,Hermes Pan,Piccolino and Top Hat; White Tie; and Tails numbers from Top Hat [came in 2nd],no
1935 (8th),DANCE DIRECTION,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses,no
1935 (8th),DANCE DIRECTION,Benjamin Zemach,Hall of Kings number from She,no
1935 (8th),DIRECTING,Captain Blood,Michael Curtiz [came in 2nd],no
1935 (8th),DIRECTING,NA,NA,no
1935 (8th),DIRECTING,The Informer,John Ford,yes
1935 (8th),DIRECTING,The Lives of a Bengal Lancer,Henry Hathaway [came in 3rd],no
1935 (8th),DIRECTING,Mutiny on the Bounty,Frank Lloyd,no
1935 (8th),FILM EDITING,David Copperfield,Robert J. Kern,no
1935 (8th),FILM EDITING,The Informer,George Hively [came in 3rd],no
1935 (8th),FILM EDITING,Les Miserables,Barbara McLean,no
1935 (8th),FILM EDITING,The Lives of a Bengal Lancer,Ellsworth Hoagland,no
1935 (8th),FILM EDITING,A Midsummer Night's Dream,Ralph Dawson,yes
1935 (8th),FILM EDITING,Mutiny on the Bounty,Margaret Booth [came in 2nd],no
1935 (8th),MUSIC (Scoring),Captain Blood,Warner Bros.-First National Studio Music Department; Leo Forbstein; head of department (Score by Erich Wolfgang Korngold) [came in 3rd],no
1935 (8th),MUSIC (Scoring),NA,NA,no
1935 (8th),The Informer -- RKO Radio Studio Music Department; Max Steiner; head of department (Score by Max Steiner),Mutiny on the Bounty,Metro-Goldwyn-Mayer Studio Music Department; Nat W. Finston; head of department (Score by Herbert Stothart) [came in 2nd],no
1935 (8th),MUSIC (Song),Cheek To Cheek from Top Hat,Music and Lyrics by Irving Berlin [came in 2nd],no
1935 (8th),MUSIC (Song),Lovely To Look At from Roberta,Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [came in 3rd],no
1935 (8th),MUSIC (Song),Lullaby Of Broadway from Gold Diggers of 1935,Music by Harry Warren; Lyrics by Al Dubin,yes
1935 (8th),OUTSTANDING PRODUCTION,Alice Adams,RKO Radio,no
1935 (8th),OUTSTANDING PRODUCTION,Broadway Melody of 1936,Metro-Goldwyn-Mayer,no
1935 (8th),OUTSTANDING PRODUCTION,Captain Blood,Cosmopolitan [came in 3rd],no
1935 (8th),OUTSTANDING PRODUCTION,David Copperfield,Metro-Goldwyn-Mayer,no
1935 (8th),OUTSTANDING PRODUCTION,The Informer,RKO Radio [came in 2nd],no
1935 (8th),OUTSTANDING PRODUCTION,Les Miserables,20th Century,no
1935 (8th),OUTSTANDING PRODUCTION,The Lives of a Bengal Lancer,Paramount,no
1935 (8th),OUTSTANDING PRODUCTION,A Midsummer Night's Dream,Warner Bros.,no
1935 (8th),OUTSTANDING PRODUCTION,Mutiny on the Bounty,Metro-Goldwyn-Mayer,yes
1935 (8th),OUTSTANDING PRODUCTION,Naughty Marietta,Metro-Goldwyn-Mayer,no
1935 (8th),OUTSTANDING PRODUCTION,Ruggles of Red Gap,Paramount,no
1935 (8th),OUTSTANDING PRODUCTION,Top Hat,RKO Radio,no
1935 (8th),SHORT SUBJECT (Cartoon),The Calico Dragon,Harman-Ising [came in 3rd],no
1935 (8th),SHORT SUBJECT (Cartoon),Three Orphan Kittens,Walt Disney; Producer,yes
1935 (8th),SHORT SUBJECT (Cartoon),Who Killed Cock Robin?,Walt Disney; Producer [came in 2nd],no
1935 (8th),SHORT SUBJECT (Comedy),How to Sleep,Jack Chertok; Producer,yes
1935 (8th),SHORT SUBJECT (Comedy),Oh; My Nerves,Jules White; Producer [came in 2nd],no
1935 (8th),SHORT SUBJECT (Comedy),Tit for Tat,Hal Roach; Producer [came in 3rd],no
1935 (8th),SHORT SUBJECT (Novelty),Audioscopiks,Pete Smith; Producer [tied for 2nd],no
1935 (8th),SHORT SUBJECT (Novelty),Camera Thrills,Universal [tied for 2nd],no
