"Year","AwardSeason","Category","CategoryType","Nominee","Additional Info","Won"
"2011","84","DOCUMENTARY","Short Subject","THE TSUNAMI AND THE CHERRY BLOSSOM","Lucy Walker and Kira Carstensen","NO"
"2011","84","FILM EDITING",NA,"THE ARTIST","Anne-Sophie Bion and Michel Hazanavicius","NO"
"2011","84","FILM EDITING",NA,"THE DESCENDANTS","Kevin Tent","NO"
"2011","84","FILM EDITING",NA,"THE GIRL WITH THE DRAGON TATTOO","Kirk Baxter and Angus Wall","YES"
"2011","84","FILM EDITING",NA,"HUGO","Thelma Schoonmaker","NO"
"2011","84","FILM EDITING",NA,"MONEYBALL","Christopher Tellefsen","NO"
"2011","84","FOREIGN LANGUAGE FILM",NA,"BULLHEAD","Belgium","NO"
"2011","84","FOREIGN LANGUAGE FILM",NA,"FOOTNOTE","Israel","NO"
"2011","84","FOREIGN LANGUAGE FILM",NA,"IN DARKNESS","Poland","NO"
"2011","84","FOREIGN LANGUAGE FILM",NA,"MONSIEUR LAZHAR","Canada","NO"
"2011","84","FOREIGN LANGUAGE FILM",NA,"A SEPARATION","Iran","YES"
"2011","84","MAKEUP",NA,"ALBERT NOBBS","Martial Corneville; Lynn Johnston and Matthew W. Mungle","NO"
"2011","84","MAKEUP",NA,"HARRY POTTER AND THE DEATHLY HALLOWS PART 2","Nick Dudman; Amanda Knight and Lisa Tomblin","NO"
"2011","84","MAKEUP",NA,"THE IRON LADY","Mark Coulier and J. Roy Helland","YES"
"2011","84","MUSIC","Original Score","THE ADVENTURES OF TINTIN","John Williams","NO"
"2011","84","MUSIC","Original Score","THE ARTIST","Ludovic Bource","YES"
"2011","84","MUSIC","Original Score","HUGO","Howard Shore","NO"
"2011","84","MUSIC","Original Score","TINKER TAILOR SOLDIER SPY","Alberto Iglesias","NO"
"2011","84","MUSIC","Original Score","WAR HORSE","John Williams","NO"
"2011","84","MUSIC","Original Song","""MAN OR MUPPET"" FROM THE MUPPETS","Music and Lyric by Bret McKenzie","YES"
"2011","84","MUSIC","Original Song","""REAL IN RIO"" FROM RIO","Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett","NO"
"2011","84","BEST PICTURE",NA,"THE ARTIST","Thomas Langmann; Producer","YES"
"2011","84","BEST PICTURE",NA,"THE DESCENDANTS","Jim Burke; Alexander Payne and Jim Taylor; Producers","NO"
"2011","84","BEST PICTURE",NA,"EXTREMELY LOUD & INCREDIBLY CLOSE","Scott Rudin; Producer","NO"
"2011","84","BEST PICTURE",NA,"THE HELP","Brunson Green; Chris Columbus and Michael Barnathan; Producers","NO"
"2011","84","BEST PICTURE",NA,"HUGO","Graham King and Martin Scorsese; Producers","NO"
"2011","84","BEST PICTURE",NA,"MIDNIGHT IN PARIS","Letty Aronson and Stephen Tenenbaum; Producers","NO"
"2011","84","BEST PICTURE",NA,"MONEYBALL","Michael De Luca; Rachael Horovitz and Brad Pitt; Producers","NO"
"2011","84","BEST PICTURE",NA,"THE TREE OF LIFE","Sarah Green; Bill Pohlad; Dede Gardner and Grant Hill; Producers","NO"
"2011","84","BEST PICTURE",NA,"WAR HORSE","Steven Spielberg and Kathleen Kennedy; Producers","NO"
"2011","84","SHORT FILM","Animated","DIMANCHE/SUNDAY","Patrick Doyon","NO"
"2011","84","SHORT FILM","Animated","THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE","William Joyce and Brandon Oldenburg","YES"
"2011","84","SHORT FILM","Animated","LA LUNA","Enrico Casarosa","NO"
"2011","84","SHORT FILM","Animated","A MORNING STROLL","Grant Orchard and Sue Goffe","NO"
"2011","84","SHORT FILM","Animated","WILD LIFE","Amanda Forbis and Wendy Tilby","NO"
"2011","84","SHORT FILM","Live Action","PENTECOST","Peter McDonald and Eimear O'Kane","NO"
"2011","84","SHORT FILM","Live Action","RAJU","Max Zähle and Stefan Gieren","NO"
"2011","84","SHORT FILM","Live Action","THE SHORE","Terry George and Oorlagh George","YES"
"2011","84","SHORT FILM","Live Action","TIME FREAK","Andrew Bowler and Gigi Causey","NO"
"2011","84","SHORT FILM","Live Action","TUBA ATLANTIC","Hallvar Witzø","NO"
"2011","84","SHORT FILM","Live Action",NA,NA,"NO"
"2011","84","SOUND EDITING",NA,"DRIVE","Lon Bender and Victor Ray Ennis","NO"
"2011","84","SOUND EDITING",NA,"THE GIRL WITH THE DRAGON TATTOO","Ren Klyce","NO"
"2011","84","SOUND EDITING",NA,"HUGO","Philip Stockton and Eugene Gearty","YES"
"2011","84","SOUND EDITING",NA,"TRANSFORMERS: DARK OF THE MOON","Ethan Van der Ryn and Erik Aadahl","NO"
"2011","84","SOUND EDITING",NA,"WAR HORSE","Richard Hymns and Gary Rydstrom","NO"
"2011","84","SOUND MIXING",NA,"THE GIRL WITH THE DRAGON TATTOO","David Parker; Michael Semanick; Ren Klyce and Bo Persson","NO"
"2011","84","SOUND MIXING",NA,"HUGO","Tom Fleischman and John Midgley","YES"
"2011","84","SOUND MIXING",NA,"MONEYBALL","Deb Adair; Ron Bochar; David Giammarco and Ed Novick","NO"
"2011","84","SOUND MIXING",NA,"TRANSFORMERS: DARK OF THE MOON","Greg P. Russell; Gary Summers; Jeffrey J. Haboush and Peter J. Devlin","NO"
"2011","84","SOUND MIXING",NA,"WAR HORSE","Gary Rydstrom; Andy Nelson; Tom Johnson and Stuart Wilson","NO"
"2011","84","VISUAL EFFECTS",NA,"HARRY POTTER AND THE DEATHLY HALLOWS PART 2","Tim Burke; David Vickery; Greg Butler and John Richardson","NO"
"2011","84","VISUAL EFFECTS",NA,"HUGO","Rob Legato; Joss Williams; Ben Grossmann and Alex Henning","YES"
"2011","84","VISUAL EFFECTS",NA,"REAL STEEL","Erik Nash; John Rosengrant; Dan Taylor and Swen Gillberg","NO"
"2011","84","VISUAL EFFECTS",NA,"RISE OF THE PLANET OF THE APES","Joe Letteri; Dan Lemmon; R. Christopher White and Daniel Barrett","NO"
"2011","84","VISUAL EFFECTS",NA,"TRANSFORMERS: DARK OF THE MOON","Scott Farrar; Scott Benza; Matthew Butler and John Frazier","NO"
"2011","84","WRITING","Adapted Screenplay","THE DESCENDANTS","Screenplay by Alexander Payne and Nat Faxon & Jim Rash","YES"
"2011","84","WRITING","Adapted Screenplay","HUGO","Screenplay by John Logan","NO"
"2011","84","WRITING","Adapted Screenplay","THE IDES OF MARCH","Screenplay by George Clooney & Grant Heslov and Beau Willimon","NO"
"2011","84","WRITING","Adapted Screenplay","MONEYBALL","Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin","NO"
"2011","84","WRITING","Adapted Screenplay","TINKER TAILOR SOLDIER SPY","Screenplay by Bridget O'Connor & Peter Straughan","NO"
"2011","84","WRITING","Original Screenplay","THE ARTIST","Written by Michel Hazanavicius","NO"
"2011","84","WRITING","Original Screenplay","BRIDESMAIDS","Written by Annie Mumolo & Kristen Wiig","NO"
"2011","84","WRITING","Original Screenplay","MARGIN CALL","Written by J.C. Chandor","NO"
"2011","84","WRITING","Original Screenplay","MIDNIGHT IN PARIS","Written by Woody Allen","YES"
"2011","84","WRITING","Original Screenplay","A SEPARATION","Written by Asghar Farhadi","NO"
"2011","84","JEAN HERSHOLT HUMANITARIAN AWARD",NA,"OPRAH WINFREY",NA,"YES"
"2011","84","HONORARY AWARD",NA,"JAMES EARL JONES",NA,"YES"
"2011","84","HONORARY AWARD",NA,"DICK SMITH",NA,"YES"
"2011","84","GORDON E. SAWYER AWARD",NA,"DOUGLAS TRUMBULL",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Academy Award of Merit","FRANZ KRAUS; JOHANNES STEURER AND WOLFGANG RIEDEL",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Scientific and Engineering Award","RADU CORLAN; ANDY JANTZEN; PETRU POP AND RICHARD F. TOFTNESS",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Scientific and Engineering Award","DR. JÜRGEN NOFFKE",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Scientific and Engineering Award","MICHAEL LEWIS; GREG MARSDEN; RAIGO ALAS AND MICHAEL VELLEKOOP",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Scientific and Engineering Award","E.F. ""BOB"" NETTMANN",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Scientific and Engineering Award","JOHN D. LOWRY; IAN CAVÉN; IAN GODIN; KIMBALL THURSTON AND TIM CONNOLLY",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Scientific and Engineering Award","FUJIFILM CORPORATION; HIDEYUKI SHIRAI; DR. KATSUHISA OOZEKI AND HIROSHI HIRANO",NA,"YES"
"2011","84","SCIENTIFIC AND TECHNICAL AWARD","Technical Achievement Award","ANDREW CLINTON AND MARK ELENDT",NA,"YES"
"2011","84","JOHN A. BONNER MEDAL OF COMMENDATION",NA,"JONATHAN ERLAND IN APPRECIATION",NA,"YES"
"2012","85","ACTOR","LEADING ROLE","SILVER LININGS PLAYBOOK ","Bradley Cooper","NO"
"2012","85","ACTOR","LEADING ROLE","LINCOLN ","Daniel Day-Lewis","YES"
"2012","85","ACTOR","LEADING ROLE","LES MISÉRABLES ","Hugh Jackman","NO"
"2012","85","ACTOR","LEADING ROLE","THE MASTER ","Joaquin Phoenix","NO"
"2012","85","ACTOR","LEADING ROLE","FLIGHT ","Denzel Washington","NO"
"2012","85","ACTOR","SUPPORTING ROLE","ARGO ","Alan Arkin","NO"
"2012","85","ACTOR","SUPPORTING ROLE","SILVER LININGS PLAYBOOK ","Robert De Niro","NO"
"2012","85","ACTOR","SUPPORTING ROLE","THE MASTER ","Philip Seymour Hoffman","NO"
"2012","85","ACTOR","SUPPORTING ROLE","LINCOLN ","Tommy Lee Jones","NO"
"2012","85","ACTOR","SUPPORTING ROLE","DJANGO UNCHAINED ","Christoph Waltz","YES"
"2012","85","ACTRESS","LEADING ROLE","ZERO DARK THIRTY ","Jessica Chastain","NO"
"2012","85","ACTRESS","LEADING ROLE","SILVER LININGS PLAYBOOK ","Jennifer Lawrence","YES"
"2012","85","ACTRESS","LEADING ROLE","AMOUR ","Emmanuelle Riva","NO"
"2012","85","ACTRESS","LEADING ROLE","BEASTS OF THE SOUTHERN WILD ","Quvenzhané Wallis","NO"
"2012","85","ACTRESS","LEADING ROLE","THE IMPOSSIBLE ","Naomi Watts","NO"
"2012","85","ACTRESS","SUPPORTING ROLE","THE MASTER ","Amy Adams","NO"
